DataSet,Trial1,Trial2,Trial3,Trial4,Trial5
ints_20,ints_20,144,146,144,144,146
ints_21,ints_21,303,303,306,303,303
ints_22,ints_22,632,635,630,636,630
ints_23,ints_23,1331,1324,1326,1327,1325
ints_24,ints_24,2485,2504,2502,2501,2492
ints_25,ints_25,4815,4845,4807,4798,4823
ints_26,ints_26,10770,10719,10751,10711,10711
ints_27,ints_27,25649,25347,25337,25097,25318
ints_28,ints_28,59430,59610,59725,59480,59590
ints_29,ints_29,139120,140800,140450,139990,140640
ints_30,ints_30,328200,329900,328950,329450,328750
