DataSet,Trial1,Trial2,Trial3,Trial4,Trial5
ints_20,ints_20,109,120,108,107,105
ints_21,ints_21,260,254,219,253,251
ints_22,ints_22,434,426,428,428,434
ints_23,ints_23,1089,1084,1082,1093,1082
ints_24,ints_24,2133,2150,2143,2149,2144
ints_25,ints_25,4240,4257,4345,4248,4245
ints_26,ints_26,9466,9459,9456,9466,9456
ints_27,ints_27,20948,20894,20899,20863,20888
ints_28,ints_28,45810,46020,46010,45995,46135
ints_29,ints_29,100320,101640,101040,101210,101620
ints_30,ints_30,221430,222100,223050,222600,223130
